timestamp,thames_ditton
2026-02-24 05:00:00+00:00,5.349
2026-02-24 05:15:00+00:00,5.354
2026-02-24 05:30:00+00:00,5.351
2026-02-24 05:45:00+00:00,5.36
2026-02-24 06:00:00+00:00,5.378
2026-02-24 06:15:00+00:00,5.405
2026-02-24 06:30:00+00:00,5.439
2026-02-24 06:45:00+00:00,5.481
2026-02-24 07:00:00+00:00,5.513
2026-02-24 07:15:00+00:00,5.543
2026-02-24 07:30:00+00:00,5.547
2026-02-24 07:45:00+00:00,5.539
2026-02-24 08:00:00+00:00,5.53
2026-02-24 08:15:00+00:00,5.512
2026-02-24 08:30:00+00:00,5.494
2026-02-24 08:45:00+00:00,5.473
2026-02-24 09:00:00+00:00,5.459
2026-02-24 09:15:00+00:00,5.445
2026-02-24 09:30:00+00:00,5.43
2026-02-24 09:45:00+00:00,5.421
2026-02-24 10:00:00+00:00,5.415
2026-02-24 10:15:00+00:00,5.405
2026-02-24 10:30:00+00:00,5.4
2026-02-24 10:45:00+00:00,5.39
2026-02-24 11:00:00+00:00,5.386
2026-02-24 11:15:00+00:00,5.381
2026-02-24 11:30:00+00:00,5.379
2026-02-24 11:45:00+00:00,5.373
2026-02-24 12:00:00+00:00,5.369
2026-02-24 12:15:00+00:00,5.365
2026-02-24 12:30:00+00:00,5.36
2026-02-24 12:45:00+00:00,5.36
2026-02-24 13:00:00+00:00,5.352
2026-02-24 13:15:00+00:00,5.352
2026-02-24 13:30:00+00:00,5.352
2026-02-24 13:45:00+00:00,5.352
2026-02-24 14:00:00+00:00,5.35
2026-02-24 14:15:00+00:00,5.346
2026-02-24 14:30:00+00:00,5.341
2026-02-24 14:45:00+00:00,5.341
2026-02-24 15:00:00+00:00,5.322
2026-02-24 15:15:00+00:00,5.322
2026-02-24 15:30:00+00:00,5.317
2026-02-24 15:45:00+00:00,5.313
2026-02-24 16:00:00+00:00,5.307
2026-02-24 16:15:00+00:00,5.304
2026-02-24 16:30:00+00:00,5.304
2026-02-24 16:45:00+00:00,5.302
2026-02-24 17:00:00+00:00,5.298
2026-02-24 17:15:00+00:00,5.305
2026-02-24 17:30:00+00:00,5.303
2026-02-24 17:45:00+00:00,5.309
2026-02-24 18:00:00+00:00,5.314
2026-02-24 18:15:00+00:00,5.318
2026-02-24 18:30:00+00:00,5.328
2026-02-24 18:45:00+00:00,5.335
2026-02-24 19:00:00+00:00,5.344
2026-02-24 19:15:00+00:00,5.364
2026-02-24 19:30:00+00:00,5.397
2026-02-24 19:45:00+00:00,5.428
2026-02-24 20:00:00+00:00,5.453
2026-02-24 20:15:00+00:00,5.463
2026-02-24 20:30:00+00:00,5.464
2026-02-24 20:45:00+00:00,5.464
2026-02-24 21:00:00+00:00,5.458
2026-02-24 21:15:00+00:00,5.45
2026-02-24 21:30:00+00:00,5.437
2026-02-24 21:45:00+00:00,5.432
2026-02-24 22:00:00+00:00,5.425
2026-02-24 22:15:00+00:00,5.417
2026-02-24 22:30:00+00:00,5.414
2026-02-24 22:45:00+00:00,5.41
2026-02-24 23:00:00+00:00,5.4
2026-02-24 23:15:00+00:00,5.395
2026-02-24 23:30:00+00:00,5.39
2026-02-24 23:45:00+00:00,5.385
2026-02-25 00:00:00+00:00,5.374
2026-02-25 00:15:00+00:00,5.372
2026-02-25 00:30:00+00:00,5.364
2026-02-25 00:45:00+00:00,5.361
2026-02-25 01:00:00+00:00,5.355
2026-02-25 01:15:00+00:00,5.347
2026-02-25 01:30:00+00:00,5.342
2026-02-25 01:45:00+00:00,5.333
2026-02-25 02:00:00+00:00,5.327
2026-02-25 02:15:00+00:00,5.324
2026-02-25 02:30:00+00:00,5.314
2026-02-25 02:45:00+00:00,5.31
2026-02-25 03:00:00+00:00,5.309
2026-02-25 03:15:00+00:00,5.305
2026-02-25 03:30:00+00:00,5.297
2026-02-25 03:45:00+00:00,5.292
2026-02-25 04:00:00+00:00,5.284
2026-02-25 04:15:00+00:00,5.281
2026-02-25 04:30:00+00:00,5.281
2026-02-25 04:45:00+00:00,5.275
2026-02-25 05:00:00+00:00,5.273
2026-02-25 05:15:00+00:00,5.275
2026-02-25 05:30:00+00:00,5.267
2026-02-25 05:45:00+00:00,5.272
2026-02-25 06:00:00+00:00,5.264
2026-02-25 06:15:00+00:00,5.266
2026-02-25 06:30:00+00:00,5.267
2026-02-25 06:45:00+00:00,5.27
2026-02-25 07:00:00+00:00,5.275
2026-02-25 07:15:00+00:00,5.287
2026-02-25 07:30:00+00:00,5.305
2026-02-25 07:45:00+00:00,5.333
2026-02-25 08:00:00+00:00,5.352
2026-02-25 08:15:00+00:00,5.373
2026-02-25 08:30:00+00:00,5.378
2026-02-25 08:45:00+00:00,5.374
2026-02-25 09:00:00+00:00,5.369
2026-02-25 09:15:00+00:00,5.357
2026-02-25 09:30:00+00:00,5.344
2026-02-25 09:45:00+00:00,5.337
2026-02-25 10:00:00+00:00,5.324
2026-02-25 10:15:00+00:00,5.316
2026-02-25 10:30:00+00:00,5.306
2026-02-25 10:45:00+00:00,5.298
2026-02-25 11:00:00+00:00,5.291
2026-02-25 11:15:00+00:00,5.268
2026-02-25 11:30:00+00:00,5.262
2026-02-25 11:45:00+00:00,5.248
2026-02-25 12:00:00+00:00,5.245
2026-02-25 12:15:00+00:00,5.228
2026-02-25 12:30:00+00:00,5.213
2026-02-25 12:45:00+00:00,5.198
2026-02-25 13:00:00+00:00,5.202
2026-02-25 13:15:00+00:00,5.206
2026-02-25 13:30:00+00:00,5.207
2026-02-25 13:45:00+00:00,5.212
2026-02-25 14:00:00+00:00,5.228
2026-02-25 14:15:00+00:00,5.238
2026-02-25 14:30:00+00:00,5.254
2026-02-25 14:45:00+00:00,5.26
2026-02-25 15:00:00+00:00,5.273
2026-02-25 15:15:00+00:00,5.277
2026-02-25 15:30:00+00:00,5.287
2026-02-25 15:45:00+00:00,5.291
2026-02-25 16:00:00+00:00,5.286
2026-02-25 16:15:00+00:00,5.291
2026-02-25 16:30:00+00:00,5.295
2026-02-25 16:45:00+00:00,5.298
2026-02-25 17:00:00+00:00,5.299
2026-02-25 17:15:00+00:00,5.295
2026-02-25 17:30:00+00:00,5.3
2026-02-25 17:45:00+00:00,5.295
2026-02-25 18:00:00+00:00,5.298
2026-02-25 18:15:00+00:00,5.298
2026-02-25 18:30:00+00:00,5.29
2026-02-25 18:45:00+00:00,5.292
2026-02-25 19:00:00+00:00,5.296
2026-02-25 19:15:00+00:00,5.292
2026-02-25 19:30:00+00:00,5.291
2026-02-25 19:45:00+00:00,5.296
2026-02-25 20:00:00+00:00,5.3
2026-02-25 20:15:00+00:00,5.305
2026-02-25 20:30:00+00:00,5.312
2026-02-25 20:45:00+00:00,5.323
2026-02-25 21:00:00+00:00,5.33
2026-02-25 21:15:00+00:00,5.33
2026-02-25 21:30:00+00:00,5.328
2026-02-25 21:45:00+00:00,5.324
2026-02-25 22:00:00+00:00,5.326
2026-02-25 22:15:00+00:00,5.323
2026-02-25 22:30:00+00:00,5.316
2026-02-25 22:45:00+00:00,5.311
2026-02-25 23:00:00+00:00,5.308
2026-02-25 23:15:00+00:00,5.303
2026-02-25 23:30:00+00:00,5.298
2026-02-25 23:45:00+00:00,5.294
2026-02-26 00:00:00+00:00,5.284
2026-02-26 00:15:00+00:00,5.279
2026-02-26 00:30:00+00:00,5.276
2026-02-26 00:45:00+00:00,5.271
2026-02-26 01:00:00+00:00,5.267
2026-02-26 01:15:00+00:00,5.265
2026-02-26 01:30:00+00:00,5.258
2026-02-26 01:45:00+00:00,5.26
2026-02-26 02:00:00+00:00,5.257
2026-02-26 02:15:00+00:00,5.256
2026-02-26 02:30:00+00:00,5.254
2026-02-26 02:45:00+00:00,5.248
2026-02-26 03:00:00+00:00,5.245
2026-02-26 03:15:00+00:00,5.245
2026-02-26 03:30:00+00:00,5.245
2026-02-26 03:45:00+00:00,5.242
2026-02-26 04:00:00+00:00,5.24
2026-02-26 04:15:00+00:00,5.245
2026-02-26 04:30:00+00:00,5.237
2026-02-26 04:45:00+00:00,5.236
